,Country,Subscribers,Rank,Youtuber,TotalSubscribersCountry,Views,Category,Uploads,Abbreviation,LowestMonthlyEarnings,HighestMonthlyEarnings,LowestYearlyEarnings,HighestYearlyEarnings,Population,Latitude,Longitude,NumChannelsCountry
0,Afghanistan,20400000,378,Linkin Park,20400000,13397000296.0,Music,0,AF,0.0,0.0,0.0,0.0,38041754.0,33.93911,67.709953,1
1,Andorra,15100000,664,Musas,15100000,2400037562.0,Howto & Style,159,AD,0.02,0.34,0.26,4.0,,,,1
2,Argentina,328500000,32,El Reino Infantil,58400000,57271630846.0,Music,1510,AR,153000.0,2400000.0,1800000.0,29400000.0,44938712.0,-38.416097,-63.616672,13
3,Argentina,328500000,106,La Granja de Zenï¿½,35700000,27118354077.0,Music,654,AR,75500.0,1200000.0,906200.0,14500000.0,44938712.0,-38.416097,-63.616672,13
4,Argentina,328500000,154,TheDonato,31200000,6187804950.0,Entertainment,3027,AR,47700.0,762700.0,572000.0,9200000.0,44938712.0,-38.416097,-63.616672,13
5,Argentina,328500000,175,Maluma,29300000,21226945136.0,Music,14,AR,0.0,0.06,0.05,0.72,44938712.0,-38.416097,-63.616672,13
6,Argentina,328500000,258,Alejo Igoa,24100000,10999000479.0,Comedy,802,AR,100400.0,1600000.0,1200000.0,19300000.0,44938712.0,-38.416097,-63.616672,13
7,Argentina,328500000,297,DrossRotzank,23000000,6041264489.0,Entertainment,1598,AR,8900.0,142200.0,106600.0,1700000.0,44938712.0,-38.416097,-63.616672,13
8,Argentina,328500000,315,Paulo Londra,22400000,8040036209.0,Music,58,AR,18100.0,289000.0,216700.0,3500000.0,44938712.0,-38.416097,-63.616672,13
9,Argentina,328500000,371,Bizarrap,20600000,7657171980.0,Comedy,83,AR,48300.0,772700.0,579500.0,9300000.0,44938712.0,-38.416097,-63.616672,13
10,Argentina,328500000,487,RobleisIUTU,17900000,5168721499.0,Entertainment,1344,AR,6900.0,110200.0,82600.0,1300000.0,44938712.0,-38.416097,-63.616672,13
11,Argentina,328500000,505,El Payaso Plim Plim,17700000,17247584185.0,Film & Animation,1316,AR,160000.0,2600000.0,1900000.0,30700000.0,44938712.0,-38.416097,-63.616672,13
12,Argentina,328500000,528,El Reino a Jugar,17200000,11445492404.0,Education,1007,AR,20900.0,334800.0,251100.0,4000000.0,44938712.0,-38.416097,-63.616672,13
13,Argentina,328500000,610,Lyna,15900000,6534326412.0,Gaming,4906,AR,16000.0,256300.0,192300.0,3100000.0,44938712.0,-38.416097,-63.616672,13
14,Argentina,328500000,673,Rubï¿½ï¿½ï¿½ï¿½ï¿½ï¿½,15100000,9477021288.0,Comedy,921,AR,128100.0,2000000.0,1500000.0,24600000.0,44938712.0,-38.416097,-63.616672,13
15,Australia,172000000,192,Bounce Patrol - Kids Songs,27800000,21037851468.0,Music,292,AU,31900.0,509800.0,382300.0,6100000.0,25766605.0,-25.274398,133.775136,9
16,Australia,172000000,248,Chloe Ting,24700000,2994726412.0,Howto & Style,412,AU,5800.0,93100.0,69800.0,1100000.0,25766605.0,-25.274398,133.775136,9
17,Australia,172000000,374,LazarBeam,20500000,8768697257.0,Gaming,1323,AU,6500.0,104300.0,78200.0,1300000.0,25766605.0,-25.274398,133.775136,9
18,Australia,172000000,479,How Ridiculous,18000000,9601137077.0,Sports,650,AU,97800.0,1600000.0,1200000.0,18800000.0,25766605.0,-25.274398,133.775136,9
